timestamp,strategy,coin,signal,rsi,ema_fast,ema_slow,atr,price,volume,trigger_met,blocked_reason
2025-11-26T23:54:03.995696+00:00,aggressive,SOL-USD,HOLD,50,143.02,143.02,0,143.02,0,False,demo_mode
2025-11-26T23:54:04.975180+00:00,aggressive,AVAX-USD,HOLD,50,14.93,14.93,0,14.93,0,False,demo_mode
2025-11-26T23:54:05.965802+00:00,aggressive,DOGE-USD,HOLD,50,0.1548,0.1548,0,0.1548,0,False,demo_mode
2025-11-26T23:59:06.701965+00:00,conservative,BTC-USD,HOLD,50,90519.19,90519.19,0,90519.19,0,False,demo_mode
2025-11-26T23:59:07.736094+00:00,conservative,ETH-USD,HOLD,50,3027.74,3027.74,0,3027.74,0,False,demo_mode
2025-11-26T23:59:08.702701+00:00,aggressive,SOL-USD,HOLD,50,143.1,143.1,0,143.1,0,False,demo_mode
2025-11-26T23:59:09.741405+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-26T23:59:10.636029+00:00,aggressive,DOGE-USD,HOLD,50,0.1548,0.1548,0,0.1548,0,False,demo_mode
2025-11-27T00:04:11.797627+00:00,conservative,BTC-USD,HOLD,50,90474.99,90474.99,0,90474.99,0,False,demo_mode
2025-11-27T00:04:12.650201+00:00,conservative,ETH-USD,HOLD,50,3022.53,3022.53,0,3022.53,0,False,demo_mode
2025-11-27T00:04:13.629280+00:00,aggressive,SOL-USD,HOLD,50,142.78,142.78,0,142.78,0,False,demo_mode
2025-11-27T00:04:14.971576+00:00,aggressive,AVAX-USD,HOLD,50,14.92,14.92,0,14.92,0,False,demo_mode
2025-11-27T00:04:15.825623+00:00,aggressive,DOGE-USD,HOLD,50,0.1545,0.1545,0,0.1545,0,False,demo_mode
2025-11-27T00:09:16.693899+00:00,conservative,BTC-USD,HOLD,50,90314.3,90314.3,0,90314.3,0,False,demo_mode
2025-11-27T00:09:17.643605+00:00,conservative,ETH-USD,HOLD,50,3017.53,3017.53,0,3017.53,0,False,demo_mode
2025-11-27T00:09:18.814938+00:00,aggressive,SOL-USD,HOLD,50,142.44,142.44,0,142.44,0,False,demo_mode
2025-11-27T00:09:19.772263+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T00:09:20.655940+00:00,aggressive,DOGE-USD,HOLD,50,0.1542,0.1542,0,0.1542,0,False,demo_mode
2025-11-27T00:14:21.485385+00:00,conservative,BTC-USD,HOLD,50,90222.04,90222.04,0,90222.04,0,False,demo_mode
2025-11-27T00:14:22.489610+00:00,conservative,ETH-USD,HOLD,50,3013.8,3013.8,0,3013.8,0,False,demo_mode
2025-11-27T00:14:23.487073+00:00,aggressive,SOL-USD,HOLD,50,142.37,142.37,0,142.37,0,False,demo_mode
2025-11-27T00:14:24.480643+00:00,aggressive,AVAX-USD,HOLD,50,14.95,14.95,0,14.95,0,False,demo_mode
2025-11-27T00:14:25.504083+00:00,aggressive,DOGE-USD,HOLD,50,0.1543,0.1543,0,0.1543,0,False,demo_mode
2025-11-27T00:19:26.275983+00:00,conservative,BTC-USD,HOLD,50,90211.4,90211.4,0,90211.4,0,False,demo_mode
2025-11-27T00:19:27.327949+00:00,conservative,ETH-USD,HOLD,50,3015.98,3015.98,0,3015.98,0,False,demo_mode
2025-11-27T00:19:28.321821+00:00,aggressive,SOL-USD,HOLD,50,142.78,142.78,0,142.78,0,False,demo_mode
2025-11-27T00:19:29.299724+00:00,aggressive,AVAX-USD,HOLD,50,14.97,14.97,0,14.97,0,False,demo_mode
2025-11-27T00:19:30.794837+00:00,aggressive,DOGE-USD,HOLD,50,0.1542,0.1542,0,0.1542,0,False,demo_mode
2025-11-27T00:24:31.576534+00:00,conservative,BTC-USD,HOLD,50,90206.75,90206.75,0,90206.75,0,False,demo_mode
